st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21,st22,st23,st24,st25,st26,st27,st28,st29,st30,st31,st32,st33,st34,st35,st36,st37,st38,st39,st40,st41,st42,st43,st44,st45,cpu-cycles,instructions,bus-cycles,cache-references,cache-misses,branch-instructions,branch-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-icache-loads,L1-icache-load-missesd,TLB-load-misses,iTLB-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,Label
77,53,20,0,54,18,1,49,2,1,17,0,70,7,0,77,3,14,20,55,23,9,58,1,0,0,77,0,0,0,0,0,207,40,0,0,20,0,22034,2,7,1,42,40,0,2.637991,1,0.5276,0.572684,0.037168,0.076596,0.000028,0.248325,0.037129,0.155744,0.000024,0.104715,0.000001,0.033774,0,0.105887,0.004595,0.037157,0.000004,O3
93,65,24,0,66,22,1,61,2,1,21,0,80,13,0,93,3,20,24,85,28,17,39,1,0,0,93,0,0,0,0,0,307,62,0,0,27,0,21896,5,7,1,59,56,0,2.026489,1,0.641587,0.704914,0.09485,0.195512,0.000073,1.038424,0.094668,0.396063,0.000195,0.588854,0,0.08616,0.000001,0.268804,0.011919,0.094933,0.00001,Ofast
44,26,14,0,28,10,2,19,6,3,7,0,40,4,0,44,7,12,14,28,21,0,58,2,0,2,37,7,0,0,1,0,125,24,0,0,13,0,22063,1,7,0,31,26,0,0.65326,1,0.216306,0.604553,0.002645,0.149882,0.003103,0.327104,0.002646,0.219655,0.000001,0.368375,0.000001,0.000037,0,0.00527,0.002312,0.002656,0.000001,O1
66,41,21,0,43,17,2,30,10,7,10,0,58,8,0,66,7,14,21,39,40,0,60,1,0,2,36,16,14,0,5,0,277,69,0,0,34,0,21900,2,7,0,56,53,0,0.716424,1,0.671275,1.061843,0.087511,0.378692,0.00017,0.770948,0.087362,0.756856,0.000273,1.234274,0.000007,0.093946,0.000001,0.257872,0.006038,0.087631,0.000011,O2
53,35,14,0,36,12,1,31,2,1,11,0,44,9,0,53,3,18,14,69,36,54,58,2,0,0,53,0,0,0,0,0,335,79,0,0,32,0,0,4,7,0,71,66,0,1.456373,1,0.409308,0.589311,0.039593,0.091445,0.000046,0.482076,0.020865,0.205667,0.018702,0.394068,0.000002,0.011516,0.000001,0.095611,0.00322,0.039572,0.008777,Ofast
61,41,16,0,42,14,1,37,2,1,13,0,57,4,0,61,3,13,16,46,40,32,79,2,0,0,61,0,0,0,0,0,295,81,0,0,32,0,21942,2,7,0,58,57,0,1.202527,1,0.415356,0.471181,0.015594,0.061917,0.00026,0.379317,0.011713,0.091864,0.003875,0.324468,0.000001,0.000185,0,0.024902,0.005303,0.015593,0.003875,O3
45,29,12,0,30,10,1,25,2,1,9,0,41,4,0,45,3,14,12,38,26,16,58,2,0,0,45,0,0,0,0,0,175,36,0,0,24,0,0,2,7,0,47,44,0,1.082754,1,0.315113,0.559716,0.018743,0.077532,0.00003,0.503364,0.013928,0.154915,0.004853,0.388044,0.000001,0.000079,0,0.029035,0.004955,0.018701,0.004848,Ofast
37,23,10,0,24,8,1,19,2,1,7,0,34,3,0,37,3,12,10,29,26,12,58,2,0,0,37,0,0,0,0,0,139,28,0,0,24,0,22067,1,7,0,44,40,0,1.45775,1,0.422013,0.417777,0.009942,0.10136,0.000026,0.323931,0.009815,0.202563,0.000084,0.273285,0.000002,0.000106,0.000001,0.017369,0.006399,0.009996,0.00001,O3
78,52,22,0,53,20,1,45,7,5,15,0,67,11,0,78,2,27,22,122,46,78,25,1,0,0,78,0,0,0,0,0,288,33,0,0,23,0,21983,0,11,0,40,50,18,0.700447,1,0.879586,1.108578,0,0.274375,0.000001,0.897002,0,0.432543,0,0.541387,0.000002,0.000002,0.000002,0.000003,0,0,0,O3
82,57,20,0,57,20,0,54,1,1,18,0,77,5,0,82,1,67,20,106,22,73,55,1,0,0,82,0,0,0,0,0,245,28,0,0,20,0,21970,0,36,0,44,48,9,1.023401,1,0.255859,0.343902,0.001232,0.196973,0.006916,0.211637,0.001102,0.132142,0.000121,0.335396,0.011096,0.003985,0.004087,0.013651,0.000008,0.001943,0,O3
